"lang","owner","name","file","mock","dep"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.ClientRequest.update_body_from_data""):","""aiohttp.client_reqrep.ClientRequest.update_body_from_data"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.StreamWriter"") as m_writer:","""aiohttp.client_reqrep.StreamWriter"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.http""):","""aiohttp.client_reqrep.http"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.StreamWriter"") as m_writer:","""aiohttp.client_reqrep.StreamWriter"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.StreamWriter"") as m_writer:","""aiohttp.client_reqrep.StreamWriter"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_request.py","with mock.patch(""aiohttp.client_reqrep.HAS_BROTLI"", has_brotli):","""aiohttp.client_reqrep.HAS_BROTLI"", has_brotli"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_http_writer.py","assert on_chunk_sent.call_args == mock.call(chunk)","chunk"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_http_writer.py","assert on_chunk_sent.call_args == mock.call(chunk)","chunk"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_response.py","with mock.patch(""aiohttp.client_reqrep.chardet"") as m_chardet:","""aiohttp.client_reqrep.chardet"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_proxy_functional.py","mock.patch(""pathlib.Path.is_file"", mock_is_file)","""pathlib.Path.is_file"", mock_is_file"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_web_urldispatcher.py","with mock.patch(""pathlib.Path.__new__"") as path_constructor:","""pathlib.Path.__new__"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_web_urldispatcher.py","with mock.patch(""pathlib.Path.__new__"") as path_constructor:","""pathlib.Path.__new__"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_helpers.py","with mock.patch(""aiohttp.helpers.asyncio"") as m_asyncio:","""aiohttp.helpers.asyncio"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, ""/tmp/testsock1.sock"", ssl=None, backlog=128),","mock.ANY, ""/tmp/testsock1.sock"", ssl=None, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, ""/tmp/testsock1.sock"", ssl=None, backlog=128),","mock.ANY, ""/tmp/testsock1.sock"", ssl=None, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, ""/tmp/testsock2.sock"", ssl=None, backlog=128),","mock.ANY, ""/tmp/testsock2.sock"", ssl=None, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","[mock.call(mock.ANY, ssl=None, sock=mock_socket, backlog=128)],","mock.ANY, ssl=None, sock=mock_socket, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, sock=mock_socket, ssl=None, backlog=128),","mock.ANY, sock=mock_socket, ssl=None, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, sock=mock_socket, ssl=None, backlog=128),","mock.ANY, sock=mock_socket, ssl=None, backlog=128"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, sock=sock1, backlog=128, ssl=None),","mock.ANY, sock=sock1, backlog=128, ssl=None"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_run_app.py","mock.call(mock.ANY, sock=sock2, backlog=128, ssl=None),","mock.ANY, sock=sock2, backlog=128, ssl=None"
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.ClientSession.request"") as m_req:","""aiohttp.client.ClientSession.request"""
"Python","aio-libs","aiohttp","../repos/Python/aiohttp/tests/test_client_ws.py","with mock.patch(""aiohttp.client.os"") as m_os:","""aiohttp.client.os"""
